"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 10 09:06:54 GMT 2024","Wed Jul 10 09:06:54 GMT 2024","22","","org.allure.junit5_jenkins.StepTest","","org.allure.junit5_jenkins.StepTest","annotatedStepTest","annotatedStepTest()",""
"passed","Wed Jul 10 09:06:54 GMT 2024","Wed Jul 10 09:06:54 GMT 2024","4","","org.allure.junit5_jenkins.StepTest","","org.allure.junit5_jenkins.StepTest","lambdaStepTest","lambdaStepTest()",""
"broken","Wed Jul 10 09:06:49 GMT 2024","Wed Jul 10 09:06:54 GMT 2024","4493","","org.allure.junit5_jenkins.SelenideTest","","org.allure.junit5_jenkins.SelenideTest","testMainPage","testMainPage()",""
